"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","BSS Id","SSID","Info"
"4294","25.636026","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=110, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4310","25.734780","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=220, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4311","25.738389","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=111, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4328","25.837229","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=221, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4329","25.840808","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=112, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4352","25.942728","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=222, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4353","25.946640","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=113, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4407","26.042067","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=223, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4408","26.045945","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=114, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4439","26.144387","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=224, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4440","26.147974","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=115, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4475","26.224529","ba:87:38:d8:7e:b1","Broadcast","802.11","143","-56 dBm","Broadcast","""IODATA-xxxxxxx""","Probe Request, SN=2436, FN=0, Flags=........C, SSID=""IODATA-xxxxxxx"""
"4484","26.243781","5e:62:6f:7b:35:c8","Broadcast","802.11","143","-52 dBm","Broadcast","""IODATA-xxxxxxx""","Probe Request, SN=563, FN=0, Flags=........C, SSID=""IODATA-xxxxxxx"""
"4485","26.247502","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=225, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4486","26.251113","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=116, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4487","26.252209","62:8a:55:00:63:35","Broadcast","802.11","143","-55 dBm","Broadcast","""IODATA-xxxxxxx""","Probe Request, SN=2542, FN=0, Flags=........C, SSID=""IODATA-xxxxxxx"""
"4504","26.279286","06:a0:0c:f6:33:49","Broadcast","802.11","143","-52 dBm","Broadcast","""IODATA-xxxxxxx""","Probe Request, SN=1317, FN=0, Flags=........C, SSID=""IODATA-xxxxxxx"""
"4507","26.284640","f6:6a:37:e8:e0:34","Broadcast","802.11","143","-56 dBm","Broadcast","""IODATA-xxxxxxx""","Probe Request, SN=1800, FN=0, Flags=........C, SSID=""IODATA-xxxxxxx"""
"4526","26.315233","ba:0f:3b:4a:14:ae","Broadcast","802.11","143","0 dBm","Broadcast","""IODATA-xxxxxxx""","Probe Request, SN=135, FN=0, Flags=........C, SSID=""IODATA-xxxxxxx"""
"4529","26.318670","ca:58:45:98:39:6a","Broadcast","802.11","143","0 dBm","Broadcast","""IODATA-xxxxxxx""","Probe Request, SN=2898, FN=0, Flags=........C, SSID=""IODATA-xxxxxxx"""
"4531","26.338546","42:58:03:e4:33:e9","Broadcast","802.11","143","0 dBm","Broadcast","""IODATA-xxxxxxx""","Probe Request, SN=217, FN=0, Flags=........C, SSID=""IODATA-xxxxxxx"""
"4534","26.340725","ba:87:38:d8:7e:b1","Broadcast","802.11","143","0 dBm","Broadcast","""IODATA-xxxxxxx""","Probe Request, SN=3404, FN=0, Flags=........C, SSID=""IODATA-xxxxxxx"""
"4539","26.349214","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=226, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4540","26.352824","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=117, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4582","26.430533","5e:62:6f:7b:35:c8","Broadcast","802.11","143","-53 dBm","Broadcast","""IODATA-xxxxxxx""","Probe Request, SN=3739, FN=0, Flags=........C, SSID=""IODATA-xxxxxxx"""
"4583","26.432995","62:8a:55:00:63:35","Broadcast","802.11","143","-56 dBm","Broadcast","""IODATA-xxxxxxx""","Probe Request, SN=3958, FN=0, Flags=........C, SSID=""IODATA-xxxxxxx"""
"4587","26.454237","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=227, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
